8296	倴	wdfa		ben1
8297	倵	wgah	wgay	wu3
8298	倶	whgw		ju4
8299	倷	wdfi		nai3
829A	倸	wesy		cai3
829B	倹	wwgw		jian3
829C	倻	wbbh		ye1
829D	倽	wwfk		sha4
829E	倿	wuvg		ning4
829F	偀	wamd		ying1
82A0	偁	wemf		cheng1
82A1	偂	wuej		qian2,jian3
82A2	偄	wdmd		ruan3,ru2
82A3	偅	wtgf		zhong4,tong2
82A4	偆	wdwj		chun3
82A5	偉	wnhh	wnkg	wei3
82A6	偊	wtky		yu3
82A7	偋	wnua		bing4
82A8	偍	wjgh		ti2
82A9	偐	wute		yan4
82AA	偑	wmtj	wwtj	feng1
82AB	偒	wjgr		tang3,dang4
82AC	偓	wngf		wo4
82AD	偔	wkkn		e4
82AE	偖	wftj		che3
82AF	偗	with		sheng3
82B0	偘	wkkk		kan3
82B1	偙	wuph	wyuh	di4
82B2	偛	wtfv	wtfe	cha1
82B3	偝	wuxe		bei4
82B4	偞	wans		ye4
82B5	偟	wrgg		huang2
82B6	偠	wsvg		yao3
82B7	偡	wadn	wdwn	zhan4
82B8	偢	wtoy		chou3,qiao4
82B9	偣	wujg		yan1
82BA	偤	wusg		you2
82BB	偦	wnhe		xu3
82BC	偧	wdqq		zha1
82BD	偨	whxs		ci1
82BE	偩	wqmy		fu4
82BF	偪	wgkl		bi1,fu4
82C0	偫	wtff		zhi4
82C1	偭	wdmd	wdlf	mian3
82C2	偮	wkbg		ji2
82C3	偯	wyey		yi3
82C4	偰	wdhd		xie4
82C5	偱	wrfh		xun2
82C6	偲	wlny		cai1
82C7	偳	wmdj		duan1
82C8	側	wmjh		ce4,zhai1
82C9	偵	whmy		zhen1
82CA	偸	wwgb		tou1
82CB	偹	whtl		bei4
82CC	偺	wthj		zan2
82CD	偼	whvh		jie2
82CE	偽	wyto		wei2
82CF	傁	wvhc	wehc	sou3
82D0	傂	wrhm	wrhw	zhi4,si1
82D1	傃	wgxi		su4
82D2	傄	wduh		xia1
82D3	傆	wdri		yuan2
