'zhao'mo 着魔
'zhuo'bi 着笔
'zhao'mang 着忙
'zhi'zhuo 执着
'jiao'zhuo 胶着
'zhao'liang 着凉
'zhuo'yi 着意
'zheng'zhao 正着
'bu'zhao 不着
'zhuo'mo 着墨
'shi'zhao 失着
'gai'zhao 该着
'zhao'huang 着慌
'dian'zhao 点着
'xia'zhao 吓着
'mei'wan'mei'liao 没完没了
'mo'shou 没收
'yan'mo 淹没
'fa'mo 罚没
'mo'luo 没落
'tun'mo 吞没
'mai'mo 埋没
'mo'ru 没入
'yin'mo 隐没
'jin'mo 浸没
'mo'ding 没顶
'chen'mo 沉没
'chu'mo 出没
'yan'mo 湮没
'ru'mo 辱没
'chao'mo 抄没
'xian'mo 陷没
'mo'xi 没膝
'mo'yao 没药
'mo'nai'he 没奈何
'mo'chi 没齿
'shen'chu'gui'mo 神出鬼没
'gong'bu'ke'mo 功不可没
'quan'jun'fu'mo 全军覆没
'yue'mo'shen'heng 月没参横
'yi'xiu 一宿
'ban'xiu 半宿
'liang'xiu 两宿
'er'shi'ba'xiu 二十八宿
'jiao'xiu 角宿
'kang'xiu 亢宿
'di'xiu 氐宿
'fang'xiu 房宿
'xin'xiu 心宿
'wei'xiu 尾宿
'ji'xiu 箕宿
'dou'xiu 斗宿
'niu'xiu 牛宿
'nv'xiu 女宿
'xu'xiu 虚宿
'wei'xiu 危宿
'shi'xiu 室宿
'bi'xiu 壁宿
'kui'xiu 奎宿
'lou'xiu 娄宿
'wei'xiu 胃宿
'mao'xiu 昴宿
'bi'xiu 毕宿
'zi'xiu 觜宿
'shen'xiu 参宿
'jing'xiu 井宿
'gui'xiu 鬼宿
'liu'xiu 柳宿
'xing'xiu 星宿
'zhang'xiu 张宿
'yi'xiu 翼宿
'zhen'xiu 轸宿
'bo'ruo 薄弱
'qing'bo 轻薄
'bo'he 薄荷
'qian'bo 浅薄
'xi'bo 稀薄
'ke'bo 刻薄
'bo'she 薄舌
'hou'bo 厚薄
'bo'ming 薄命
'mian'bo 绵薄
'bo'qing 薄情
'wei'bo 微薄
'pen'bo 喷薄
'dan'bo 淡薄
'bo'wu 薄雾
'bo'mu 薄暮
'bo'jin 薄近
'bo'hai 薄海
'bo'xing 薄幸
'ming'bo 命薄
'bi'bo 鄙薄
'fei'bo 菲薄
'bo'li 薄利
'bo'mian 薄面
'bo'jiu 薄酒
'ji'bo 瘠薄
'bo'li 薄礼
'bo'zang 薄葬
'hou'ci'bo'bi 厚此薄彼
'yi'bo'yun'tian 义薄云天
'ri'bo'xi'shan 日薄西山
'pen'bo'yu'chu 喷薄欲出
'guang'zhong'bo'shou 广种薄收
'hou'gu'bo'jin 厚古薄今
'hou'jin'bo'gu 厚今薄古
'bo'ji'zai'shen 薄技在身
'jian'zui'bo'she 尖嘴薄舌
'dan'bo 单薄
'shi'dan'li'bo 势单力薄
'chi'bang 翅膀
'jian'bang 肩膀
'bang'zi 膀子
'bang'da'yao'yuan 膀大腰圆
'liao'de 了得
'bu'de'liao 不得了
'liao'bu'de 了不得
'shou'de'liao 受得了
'suan'de'liao 算得了
'zen'me'de'liao 怎么得了
'gou'de'zhao 够得着
'yong'de'zhao 用得着
'fan'de'zhao 犯得着
'shu'de'zhao 数得着
'hai'dei 还得
'jiu'dei 就得
'xian'dei 先得
'ye'dei 也得
'dei'jian 得见
'dei'you 得有
'dei'kuai 得快
'zong'dei 总得
'fei'dei 非得
'dei'yao 得要
'ni'dei 你得
'ta'dei 他得
'dei'ren 得人
'zhe'dei 这得
'dei'kong 得空
'you'dei 又得
'wo'dei 我得
'ke'dei 可得
'lou'zhe 露着
'lu'su 露宿
'can'feng'su'lu 餐风宿露
'xie'lou 泄露
'lou'mian 露面
'lou'lian 露脸
'lou'tou 露头
'lou'xian 露馅
'lou'fu 露富
'lou'di 露底
'lou'chou 露丑
'lou'chu 露出
'lou'qie 露怯
'lou'ma'jiao 露马脚
'lou'yi'shou 露一手
'liu'fen 陆分
'liu'jiao 陆角
'liu'yuan 陆元
'liu'shi 陆拾
'liu'bai 陆佰
'liu'qian 陆仟
'liu'wan 陆万
'liu'yi 陆亿
'lu'an 六安
'dui'chen 对称
'chen'zhi 称职
'xiang'chen 相称
'chen'xin 称心
'yun'chen 匀称
'chu'chai 出差
'chai'shi 差事
'gong'chai 公差
'you'chai 邮差
'qin'chai 钦差
'jiao'chai 交差
'chai'ren 差人
'ku'chai 苦差
'xin'chai 信差
'dang'chai 当差
