ㄚ	a
ㄒㄧㄤ	xiang
ㄒㄧㄠ	xiao
ㄒㄧㄝ	xie
ㄒㄧㄣ	xin
ㄒㄧㄥ	xing
ㄒㄩㄥ	xiong
ㄒㄧㄡ	xiu
ㄒㄩ	xu
ㄒㄩㄢ	xuan
ㄒㄩㄝ	xue
ㄒㄩㄣ	xun
ㄧ	y
ㄧㄚ	ya
ㄧㄢ	yan
ㄧㄤ	yang
ㄧㄠ	yao
ㄧㄝ	ye
ㄧ	yi
ㄧㄣ	yin
ㄧㄥ	ying
ㄧㄛ	yo
ㄩㄥ	yong
ㄧㄡ	you
ㄩ	yu
ㄩㄢ	yuan
ㄩㄝ	yue
ㄩㄣ	yun
ㄗㄚ	za
ㄗㄞ	zai
ㄗㄢ	zan
ㄗㄤ	zang
ㄗㄠ	zao
ㄗㄜ	ze
ㄗㄟ	zei
ㄗㄣ	zen
ㄗㄥ	zeng
ㄓㄚ	zha
ㄓㄞ	zhai
ㄓㄢ	zhan
ㄓㄤ	zhang
ㄓㄠ	zhao
ㄓㄜ	zhe
ㄓㄣ	zhen
ㄓㄥ	zheng
ㄓㄨㄥ	zhong
ㄓㄡ	zhou
ㄓㄨ	zhu
ㄓㄨㄚ	zhua
ㄓㄨㄢ	zhuan
ㄓㄨㄤ	zhuang
ㄓㄨㄟ	zhui
ㄓㄨㄣ	zhun
ㄓㄨㄛ	zhuo
ㄗㄨㄥ	zong
ㄗㄡ	zou
ㄗㄨ	zu
ㄗㄨㄢ	zuan
ㄗㄨㄟ	zui
ㄗㄨㄣ	zun
ㄗㄨㄛ	zuo
ㄓ	zhi
ㄔ	chi
ㄕ	shi
ㄖ	ri
ㄗ	zi
ㄘ	ci
ㄙ	si
